a				b				f(a)			f(b)			(b-a)			c				f(c)
1.100000		1.200000		-0.094684		3.696229		0.100000		1.102498		-0.072432
1.102498		1.200000		-0.072432		3.696229		0.097502		1.104372		-0.054346
1.104372		1.200000		-0.054346		3.696229		0.095628		1.105757		-0.040181
1.105757		1.200000		-0.040181		3.696229		0.094243		1.106771		-0.029384
1.106771		1.200000		-0.029384		3.696229		0.093229		1.107506		-0.021315
1.107506		1.200000		-0.021315		3.696229		0.092494		1.108036		-0.015371
1.108036		1.200000		-0.015371		3.696229		0.091964		1.108417		-0.011038
1.108417		1.200000		-0.011038		3.696229		0.091583		1.108690		-0.007902
1.108690		1.200000		-0.007902		3.696229		0.091310		1.108885		-0.005644
1.108885		1.200000		-0.005644		3.696229		0.091115		1.109024		-0.004026
1.109024		1.200000		-0.004026		3.696229		0.090976		1.109123		-0.002868
1.109123		1.200000		-0.002868		3.696229		0.090877		1.109193		-0.002041
1.109193		1.200000		-0.002041		3.696229		0.090807		1.109243		-0.001452
1.109243		1.200000		-0.001452		3.696229		0.090757		1.109279		-0.001033
1.109279		1.200000		-0.001033		3.696229		0.090721		1.109304		-0.000734
1.109304		1.200000		-0.000734		3.696229		0.090696		1.109322		-0.000522
1.109322		1.200000		-0.000522		3.696229		0.090678		1.109335		-0.000371
1.109335		1.200000		-0.000371		3.696229		0.090665		1.109344		-0.000264
1.109344		1.200000		-0.000264		3.696229		0.090656		1.109351		-0.000187
1.109351		1.200000		-0.000187		3.696229		0.090649		1.109355		-0.000133
1.109355		1.200000		-0.000133		3.696229		0.090645		1.109358		-0.000095
Raiz aproximada = 1.109358
