a			b			f(a)		f(b)		(b-a)		(b-a)/a		x			f(x)
1.100000	1.200000	-0.094684	3.696229	0.100000	0.090909	1.150000	0.875874
1.100000	1.150000	-0.094684	0.875874	0.050000	0.045455	1.125000	0.235560
1.100000	1.125000	-0.094684	0.235560	0.025000	0.022727	1.112500	0.038915
1.100000	1.112500	-0.094684	0.038915	0.012500	0.011364	1.106250	-0.034978
1.106250	1.112500	-0.034978	0.038915	0.006250	0.005650	1.109375	0.000102
1.106250	1.109375	-0.034978	0.000102	0.003125	0.002825	1.107813	-0.017893
1.107813	1.109375	-0.017893	0.000102	0.001562	0.001410	1.108594	-0.009011
1.108594	1.109375	-0.009011	0.000102	0.000781	0.000705	1.108984	-0.004484
1.108984	1.109375	-0.004484	0.000102	0.000391	0.000352	1.109180	-0.002198
1.109180	1.109375	-0.002198	0.000102	0.000195	0.000176	1.109277	-0.001050
1.109277	1.109375	-0.001050	0.000102	0.000098	0.000088	1.109326	-0.000475
1.109326	1.109375	-0.000475	0.000102	0.000049	0.000044	1.109351	-0.000187
1.109351	1.109375	-0.000187	0.000102	0.000024	0.000022	1.109363	-0.000042
1.109363	1.109375	-0.000042	0.000102	0.000012	0.000011	1.109369	0.000030
1.109363	1.109369	-0.000042	0.000030	0.000006	0.000006	1.109366	-0.000006
1.109366	1.109369	-0.000006	0.000030	0.000003	0.000003	1.109367	0.000012
1.109366	1.109367	-0.000006	0.000012	0.000002	0.000001	1.109367	0.000003

Raiz aproximada = 1.109367
